,Date,confirmed_cases
0,2020-01-23,653
1,2020-01-24,941
2,2020-01-25,2019
3,2020-01-26,2794
4,2020-01-27,4473
5,2020-01-28,6057
6,2020-01-29,7783
7,2020-01-30,9776
8,2020-01-31,11374
9,2020-02-01,14549
10,2020-02-02,17295
11,2020-02-03,20588
12,2020-02-04,24503
13,2020-02-05,24630
14,2020-02-06,30806
15,2020-02-07,31532
16,2020-02-08,37549
17,2020-02-09,40536
18,2020-02-10,42767
19,2020-02-11,45117
20,2020-02-12,60328
21,2020-02-13,64422
22,2020-02-14,66887
23,2020-02-15,69032
24,2020-02-16,71226
25,2020-02-17,73260
